City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Beira,MZ,2022-04-10 13:44:39,-19.8436,34.8389,78.89,83,75,7.0,broken clouds
185,Hofn,IS,2022-04-10 13:44:40,64.2539,-15.2082,37.42,52,75,3.44,broken clouds
186,Kaoma,ZM,2022-04-10 13:44:40,-14.7833,24.8,66.78,94,100,3.47,overcast clouds
187,Pokhara,NP,2022-04-10 13:40:41,28.2333,83.9833,70.66,63,68,4.56,broken clouds
188,Urengoy,RU,2022-04-10 13:44:40,65.9667,78.3667,19.63,94,100,9.48,overcast clouds
189,Pevek,RU,2022-04-10 13:44:41,69.7008,170.3133,-14.37,97,100,3.83,overcast clouds
190,Deputatskiy,RU,2022-04-10 13:44:41,69.3,139.9,-13.54,92,62,2.59,broken clouds
191,Turayf,SA,2022-04-10 13:44:41,31.6725,38.6637,88.05,13,0,13.8,clear sky
192,Alice Springs,AU,2022-04-10 13:40:13,-23.7,133.8833,69.22,32,90,0.0,overcast clouds
193,Dawlatabad,AF,2022-04-10 13:44:42,36.4141,64.9053,86.85,22,100,5.75,overcast clouds
194,Pacific Grove,US,2022-04-10 13:44:42,36.6177,-121.9166,55.69,88,0,3.44,clear sky
195,Cherskiy,RU,2022-04-10 13:43:27,68.75,161.3,-13.14,99,100,2.55,overcast clouds
196,Azul,AR,2022-04-10 13:44:43,-36.777,-59.8585,71.65,64,68,9.35,broken clouds
197,Altay,CN,2022-04-10 13:44:43,47.8667,88.1167,37.13,46,74,7.36,broken clouds
198,Khatanga,RU,2022-04-10 13:44:43,71.9667,102.5,6.57,97,100,4.05,overcast clouds
199,Palmas,BR,2022-04-10 13:42:30,-10.2128,-48.3603,84.07,70,20,6.91,few clouds
200,Nantucket,US,2022-04-10 13:44:24,41.2835,-70.0995,48.34,66,0,14.97,clear sky
201,Paka,MY,2022-04-10 13:44:44,4.6374,103.4368,80.53,94,18,0.0,few clouds
202,Yermakovskoye,RU,2022-04-10 13:44:44,53.2831,92.4003,33.89,80,100,5.5,overcast clouds
203,Lavrentiya,RU,2022-04-10 13:44:44,65.5833,-171.0,23.54,96,98,9.53,overcast clouds
204,Sao Geraldo Do Araguaia,BR,2022-04-10 13:44:45,-6.4006,-48.555,82.22,77,100,3.15,overcast clouds
205,Victoria,HK,2022-04-10 13:44:45,22.2855,114.1577,76.32,73,0,5.99,clear sky
206,Salcininkai,LT,2022-04-10 13:44:45,54.3,25.3833,48.83,48,85,14.07,overcast clouds
207,Wilmington,US,2022-04-10 13:44:46,34.2257,-77.9447,52.0,49,0,12.66,clear sky
208,Dali,CN,2022-04-10 13:44:46,25.7,100.1833,59.85,65,13,5.93,few clouds
209,Aloleng,PH,2022-04-10 13:44:46,16.1307,119.7824,81.3,79,100,4.63,overcast clouds
210,Kavieng,PG,2022-04-10 13:44:47,-2.5744,150.7967,82.35,76,100,11.72,overcast clouds
211,Aleksandrovskiy Zavod,RU,2022-04-10 13:44:47,50.9237,117.9374,19.49,92,14,3.38,few clouds
212,Atengo,MX,2022-04-10 13:44:47,20.1667,-99.3333,63.97,53,11,3.44,few clouds
213,Vardo,NO,2022-04-10 13:44:48,70.3705,31.1107,36.43,85,52,19.06,broken clouds
